id,question,category,difficulty,should_answer,reference_answer,reference_keywords,acceptable_sources_any,required_sources_all,expected_sources,answer,retrieved_sources,retrieved_pages,retrieved_context_count,latency_seconds,provider,model,error_flag,error_message,source_hit_rate_at_k,source_recall_at_k,keyword_recall,answer_length_chars,answer_length_words,abstention_detected,abstention_correct,question_score
q01,"What is Retrieval Augmented Generation (RAG), and what problem is it intended to solve for language models?",explanation,easy,True,"Retrieval Augmented Generation augments an LLM with document retrieval so responses are grounded in external course materials or a vector database rather than only model memory, which helps reduce unsupported answers and hallucinations.","[""retrieval"", ""llm"", ""context"", ""vector database"", ""hallucination""]",[],"[""B9AI006 - NLP - Retrieval Augmented Generation (1).pdf""]",,,[],[],0,120.145914,anthropic,claude-haiku-4-5,True,Error executing plan: Error sending backfill request to compactor: Error constructing hnsw segment reader: Error creating hnsw segment reader: Error deserializing pickle file: eval error at offset 0: EOF while parsing,0.0,0.0,0.0,0,0,False,False,0.0
q02,What is the difference between Bag of Words and word embeddings in NLP?,comparison,easy,True,"Bag of Words represents text using word counts and ignores order and context, while word embeddings represent words as dense continuous vectors that capture semantic relationships and similarity.","[""bag of words"", ""counts"", ""ignores context"", ""dense"", ""semantic""]",[],"[""B9AI006 - NLP - Feature Engineering BOW to Embeddings.pdf""]",,,[],[],0,0.491673,anthropic,claude-haiku-4-5,True,Error executing plan: Error sending backfill request to compactor: Error constructing hnsw segment reader: Error creating hnsw segment reader: Error deserializing pickle file: eval error at offset 0: EOF while parsing,0.0,0.0,0.0,0,0,False,False,0.0
q03,"How does TF-IDF weight terms in a document, and why are rare terms often more useful?",factual,medium,True,TF-IDF combines term frequency with inverse document frequency so terms that are frequent in one document but rare across the corpus receive higher weight and are treated as more informative.,"[""term frequency"", ""inverse document frequency"", ""rare terms"", ""corpus"", ""higher weight""]","[""B9AI006 - NLP - Text Vectorisation and Transformation.pdf"", ""B9AI006 - NLP - Feature Engineering BOW to Embeddings.pdf""]",[],,,[],[],0,0.59584,anthropic,claude-haiku-4-5,True,Error executing plan: Error sending backfill request to compactor: Error constructing hnsw segment reader: Error creating hnsw segment reader: Error deserializing pickle file: eval error at offset 0: EOF while parsing,0.0,,0.0,0,0,False,False,0.0
q04,"What is an n-gram language model, and how does it estimate the next word?",factual,easy,True,An n-gram language model predicts the next word from the previous N-1 words by decomposing sequence probability into conditional probabilities over short contiguous contexts.,"[""n-gram"", ""previous n-1 words"", ""probability"", ""next word"", ""sequence""]",[],"[""B9AI006 - NLP - Language Modelling - N-grams and RNNs.pdf""]",,,[],[],0,0.634559,anthropic,claude-haiku-4-5,True,Error executing plan: Error sending backfill request to compactor: Error constructing hnsw segment reader: Error creating hnsw segment reader: Error deserializing pickle file: eval error at offset 0: EOF while parsing,0.0,0.0,0.0,0,0,False,False,0.0
q05,How do n-gram language models differ from RNN-based language models?,comparison,medium,True,"N-gram models use a fixed context window and often suffer from sparsity, whereas RNNs process sequences recurrently, maintain a hidden state, and can model longer-range dependencies and order.","[""fixed window"", ""sparsity"", ""hidden state"", ""sequence"", ""long-range dependencies""]",[],"[""B9AI006 - NLP - Language Modelling - N-grams and RNNs.pdf""]",,,[],[],0,1.071816,anthropic,claude-haiku-4-5,True,Error executing plan: Error sending backfill request to compactor: Error constructing hnsw segment reader: Error creating hnsw segment reader: Error deserializing pickle file: eval error at offset 0: EOF while parsing,0.0,0.0,0.0,0,0,False,False,0.0
q06,"In the Transformer architecture, what does self-attention do?",explanation,medium,True,"Self-attention lets each token attend to other tokens in the sequence by comparing queries and keys to produce attention weights that are applied to values, and Transformers use multi-head self-attention to learn different relationships in parallel.","[""query"", ""key"", ""value"", ""attention"", ""multi-head""]","[""Attention is All You Need Vaswani et al. 2017.pdf"", ""B9AI006 - NLP - Transformers and LLMs.pdf""]",[],,,[],[],0,0.613356,anthropic,claude-haiku-4-5,True,Error executing plan: Error sending backfill request to compactor: Error constructing hnsw segment reader: Error creating hnsw segment reader: Error deserializing pickle file: eval error at offset 0: EOF while parsing,0.0,,0.0,0,0,False,False,0.0
q07,How does DistilBERT compare with the original BERT model in size and speed?,comparison,easy,True,"DistilBERT is a distilled version of BERT that is about 40% smaller, around 60% faster at inference, and retains about 97% of BERT's language understanding capability.","[""40% smaller"", ""60% faster"", ""97%"", ""distillation"", ""bert""]","[""Paper DistilBERT a distilled version of BERT smaller faster cheaper lighter (1).pdf"", ""B9AI006 - NLP - Transformers and LLMs.pdf""]",[],,,[],[],0,0.569993,anthropic,claude-haiku-4-5,True,Error executing plan: Error sending backfill request to compactor: Error constructing hnsw segment reader: Error creating hnsw segment reader: Error deserializing pickle file: eval error at offset 0: EOF while parsing,0.0,,0.0,0,0,False,False,0.0
q08,What is Latent Dirichlet Allocation (LDA) used for in topic modelling?,explanation,medium,True,"LDA is a generative probabilistic topic model that represents documents as mixtures of topics and topics as distributions over words, allowing themes to be discovered across a corpus.","[""generative probabilistic"", ""documents"", ""topics"", ""words"", ""mixture""]","[""Research Paper - Latent Dirchlet Allocation - Blei et al (2003).pdf"", ""B9AI006 - NLP - Unsupervised Learning - Topic Modelling.pdf""]",[],,,[],[],0,0.504193,anthropic,claude-haiku-4-5,True,Error executing plan: Error sending backfill request to compactor: Error constructing hnsw segment reader: Error creating hnsw segment reader: Error deserializing pickle file: eval error at offset 0: EOF while parsing,0.0,,0.0,0,0,False,False,0.0
q09,What does Turing's imitation game involve?,factual,easy,True,"Turing's imitation game involves an interrogator communicating with hidden participants and trying to decide which is the human and which is the machine, using the setup as a practical reformulation of the question of machine intelligence.","[""imitation game"", ""interrogator"", ""machine"", ""human"", ""questions""]",[],"[""Paper - Computing Machinery and Intelligence - A.M.Turing 1950.pdf""]",,,[],[],0,0.595014,anthropic,claude-haiku-4-5,True,Error executing plan: Error sending backfill request to compactor: Error constructing hnsw segment reader: Error creating hnsw segment reader: Error deserializing pickle file: eval error at offset 0: EOF while parsing,0.0,0.0,0.0,0,0,False,False,0.0
q10,Why are dense embeddings more useful than Bag of Words features for retrieval in a RAG system?,synthesis,hard,False,"Dense embeddings are more useful for RAG retrieval because they support semantic similarity search in a vector space, while Bag of Words mainly relies on sparse token overlap and literal keyword matching.","[""dense embeddings"", ""semantic similarity"", ""vector space"", ""bag of words"", ""keyword matching""]","[""B9AI006 - NLP - Retrieval Augmented Generation (1).pdf"", ""B9AI006 - NLP - Feature Engineering BOW to Embeddings.pdf""]",[],,,[],[],0,0.606905,anthropic,claude-haiku-4-5,True,Error executing plan: Error sending backfill request to compactor: Error constructing hnsw segment reader: Error creating hnsw segment reader: Error deserializing pickle file: eval error at offset 0: EOF while parsing,0.0,,0.0,0,0,False,False,0.0
